id,team,standing,percentage,season,diff_standing,diff_percentage,min_per,avg_per,DPOY,MIP,SMOY,COY
443,"Atlanta Hawks",13,0.366,2007,1,0.049,3.7,11.71,0,0,0,0
503,"Atlanta Hawks",15,0.159,2005,-3,-0.182,3.1,12.72,0,0,0,0
556,"Atlanta Hawks",11,0.427,2003,1,0.025,2.1,12.16,0,0,0,0
615,"Atlanta Hawks",13,0.305,2001,1,-0.036,6.5,12.87,0,0,0,0
645,"Atlanta Hawks",14,0.341,2000,-10,-0.279,-10.6,9.87,0,0,0,0
664,"Atlanta Hawks",4,0.62,1999,1,0.01,8.8,12.86,0,0,0,0
721,"Atlanta Hawks",4,0.683,1997,2,0.122,0.7,13.14,1,0,0,0
751,"Atlanta Hawks",6,0.561,1996,1,0.049,-9,10.49,0,0,0,0
779,"Atlanta Hawks",7,0.512,1995,-6,-0.183,-6.2,13.27,0,0,0,0
916,"Atlanta Hawks",9,0.5,1990,-5,-0.134,4.9,12.98,0,0,0,0
935,"Atlanta Hawks",4,0.634,1989,0,0.024,-11,13.09,0,0,0,0
958,"Atlanta Hawks",4,0.61,1988,-2,-0.085,1.9,13.11,0,0,0,0
979,"Atlanta Hawks",2,0.695,1987,2,0.085,9.6,15.01,0,0,0,0
1003,"Atlanta Hawks",4,0.61,1986,5,0.195,-49.6,10.19,0,0,0,1
1073,"Atlanta Hawks",6,0.524,1983,0,0.012,6.5,12.25,0,0,0,0
1096,"Atlanta Hawks",6,0.512,1982,2,0.134,6.6,12.41,0,0,0,0
473,"Atlanta Hawks",14,0.317,2006,1,0.158,-0.1,11.85,0,0,0,0
529,"Atlanta Hawks",12,0.341,2004,-1,-0.086,6.2,12.55,0,0,0,0
585,"Atlanta Hawks",12,0.402,2002,1,0.097,-28,9.72,0,0,0,0
694,"Atlanta Hawks",5,0.61,1998,-1,-0.073,4.8,13.86,1,1,0,0
800,"Atlanta Hawks",1,0.695,1994,6,0.171,-6.5,12.01,0,0,0,1
833,"Atlanta Hawks",7,0.524,1993,2,0.061,7.6,13.86,0,0,0,0
862,"Atlanta Hawks",9,0.463,1992,-3,-0.061,-8.8,11.75,0,0,0,0
887,"Atlanta Hawks",6,0.524,1991,3,0.024,7.4,14.91,0,0,0,0
1030,"Atlanta Hawks",9,0.415,1985,-2,-0.073,-5.5,12.91,0,0,0,0
1051,"Atlanta Hawks",7,0.488,1984,-1,-0.036,-1.8,10.73,0,0,0,0
20,"Atlanta Hawks",5,0.569,2021,9,0.27,-11.2,11.87,0,0,0,0
59,"Atlanta Hawks",14,0.299,2020,-2,-0.055,-5.7,12.95,0,0,0,0
87,"Atlanta Hawks",12,0.354,2019,3,0.061,-7.1,10.78,0,0,0,0
120,"Atlanta Hawks",15,0.293,2018,-10,-0.231,1.5,12.99,0,0,0,0
140,"Atlanta Hawks",5,0.524,2017,-1,-0.061,-4.6,11.02,0,0,0,0
169,"Atlanta Hawks",4,0.585,2016,-3,-0.147,-4.3,10.65,0,0,0,0
196,"Atlanta Hawks",1,0.732,2015,7,0.269,4.7,13.14,0,0,0,1
231,"Atlanta Hawks",8,0.463,2014,-2,-0.074,2.9,14.25,0,0,0,0
258,"Atlanta Hawks",6,0.537,2013,-1,-0.069,-1.8,12.07,0,0,0,0
287,"Atlanta Hawks",5,0.606,2012,0,0.069,5.4,12.92,0,0,0,0
317,"Atlanta Hawks",5,0.537,2011,-2,-0.109,3.7,13.29,0,0,0,0
345,"Atlanta Hawks",3,0.646,2010,1,0.073,5.4,12.16,0,0,1,0
375,"Atlanta Hawks",4,0.573,2009,4,0.122,0.9,13.19,0,0,0,0
408,"Atlanta Hawks",8,0.451,2008,5,0.085,1.5,11.89,0,0,0,0
22,"Boston Celtics",7,0.5,2021,-4,-0.167,-11.3,12.84,0,0,0,0
48,"Boston Celtics",3,0.667,2020,1,0.069,-1,13.43,0,0,0,0
79,"Boston Celtics",4,0.598,2019,-2,-0.073,4.3,14.81,0,0,0,0
107,"Boston Celtics",2,0.671,2018,-1,0.025,8.5,18.33,0,0,0,0
136,"Boston Celtics",1,0.646,2017,4,0.061,-4.9,12.09,0,0,0,0
170,"Boston Celtics",5,0.585,2016,2,0.097,9.3,14.79,0,0,0,0
202,"Boston Celtics",7,0.488,2015,5,0.183,3.6,13.82,0,0,0,0
235,"Boston Celtics",12,0.305,2014,-5,-0.201,6.2,15.01,0,0,0,0
259,"Boston Celtics",7,0.506,2013,-3,-0.085,0.5,11.69,0,0,0,0
286,"Boston Celtics",4,0.591,2012,-1,-0.092,-30.2,10.08,0,0,0,0
315,"Boston Celtics",3,0.683,2011,1,0.073,6.7,12.29,0,0,0,0
346,"Boston Celtics",4,0.61,2010,-2,-0.146,2.2,11.85,0,0,0,0
373,"Boston Celtics",2,0.756,2009,-1,-0.049,-26.8,10.55,0,0,0,0
401,"Boston Celtics",1,0.805,2008,14,0.512,4.4,13.72,1,0,0,0
492,"Boston Celtics",3,0.549,2005,5,0.11,3.3,12.04,0,0,0,0
525,"Boston Celtics",8,0.439,2004,-2,-0.098,5.7,13.65,0,0,0,0
551,"Boston Celtics",6,0.537,2003,-3,-0.061,1.5,13.86,0,0,0,0
611,"Boston Celtics",9,0.439,2001,1,0.012,2.8,12.06,0,0,0,0
672,"Boston Celtics",12,0.38,1999,0,-0.059,-1.7,12.86,0,0,0,0
700,"Boston Celtics",12,0.439,1998,3,0.256,0.7,12.2,0,0,0,0
732,"Boston Celtics",15,0.183,1997,-4,-0.219,3.8,12.67,0,0,0,0
855,"Boston Celtics",2,0.622,1992,0,-0.061,-4.7,13.32,0,0,0,0
911,"Boston Celtics",4,0.634,1990,4,0.122,6.3,14.1,0,0,0,0
939,"Boston Celtics",8,0.512,1989,-7,-0.183,4.2,13.91,0,0,0,0
978,"Boston Celtics",1,0.72,1987,0,-0.097,5.5,13.63,0,0,0,0
1045,"Boston Celtics",1,0.756,1984,2,0.073,3.9,12.97,0,0,1,0
1070,"Boston Celtics",3,0.683,1983,-2,-0.085,6.8,13.4,0,0,0,0
1091,"Boston Celtics",1,0.768,1982,0,0.012,1.5,12.87,0,0,0,0
1022,"Boston Celtics",1,0.768,1985,0,0.012,-0.6,13.05,0,0,1,0
1000,"Boston Celtics",1,0.817,1986,0,0.049,-7.1,10.43,0,0,1,0
955,"Boston Celtics",1,0.695,1988,0,-0.025,7,13.72,0,0,0,0
883,"Boston Celtics",2,0.683,1991,2,0.049,-9.3,12.87,0,0,0,0
830,"Boston Celtics",4,0.585,1993,-2,-0.037,9.2,13.83,0,0,0,0
809,"Boston Celtics",10,0.39,1994,-6,-0.195,5.8,13.02,0,0,0,0
