,min,avg,season,team
0,4.7,13.14,2021.0,Miami Heat
1,4.6,14.69,2020.0,Miami Heat
2,-3.1,11.76,2019.0,Miami Heat
3,3.6,12.27,2018.0,Miami Heat
4,-0.7,11.48,2017.0,Miami Heat
5,7.5,12.8,2016.0,Miami Heat
6,2.4,15.33,2015.0,Miami Heat
7,-5.0,11.83,2014.0,Miami Heat
8,8.0,20.43,2013.0,Miami Heat
9,-4.1,12.84,2012.0,Miami Heat
10,1.8,11.71,2011.0,Miami Heat
11,-6.4,11.59,2010.0,Miami Heat
12,-3.7,11.45,2009.0,Miami Heat
13,3.7,11.74,2008.0,Miami Heat
14,5.5,12.02,2007.0,Miami Heat
15,6.3,13.23,2006.0,Miami Heat
16,-2.8,11.68,2005.0,Miami Heat
17,5.2,13.5,2004.0,Miami Heat
18,-7.2,10.62,2003.0,Miami Heat
19,3.8,11.49,2002.0,Miami Heat
20,-9.7,10.5,2001.0,Miami Heat
21,-1.9,13.15,2000.0,Miami Heat
22,6.6,13.33,1999.0,Miami Heat
23,-3.3,10.47,1998.0,Miami Heat
24,-0.5,13.43,1997.0,Miami Heat
25,-4.1,12.83,1996.0,Miami Heat
26,1.6,11.81,1995.0,Miami Heat
27,6.5,13.55,1994.0,Miami Heat
28,-3.4,11.6,1993.0,Miami Heat
29,9.3,13.54,1992.0,Miami Heat
30,8.7,14.11,1991.0,Miami Heat
31,7.4,12.16,1990.0,Miami Heat
32,8.3,11.86,1989.0,Miami Heat
33,3.4,11.08,1988.0,Miami Heat
34,,,,Miami Heat
35,,,,Miami Heat
36,,,,Miami Heat
37,,,,Miami Heat
38,,,,Miami Heat
39,,,,Miami Heat
0,-13.5,11.34,2021.0,Sacramento Kings
1,-5.9,13.41,2020.0,Sacramento Kings
2,-0.1,12.56,2019.0,Sacramento Kings
3,3.7,12.54,2018.0,Sacramento Kings
4,4.4,12.62,2017.0,Sacramento Kings
5,8.0,13.64,2016.0,Sacramento Kings
6,4.2,12.77,2015.0,Sacramento Kings
7,2.4,15.77,2014.0,Sacramento Kings
8,-8.3,10.78,2013.0,Sacramento Kings
9,1.9,13.34,2012.0,Sacramento Kings
10,8.9,13.55,2011.0,Sacramento Kings
11,-17.9,10.29,2010.0,Sacramento Kings
12,2.4,12.16,2009.0,Sacramento Kings
13,-8.3,12.22,2008.0,Sacramento Kings
14,-11.7,9.99,2007.0,Sacramento Kings
15,-22.1,10.93,2006.0,Sacramento Kings
16,7.1,13.64,2005.0,Sacramento Kings
17,4.6,14.44,2004.0,Sacramento Kings
18,6.2,14.56,2003.0,Sacramento Kings
19,-3.7,13.72,2002.0,Sacramento Kings
20,6.6,14.06,2001.0,Sacramento Kings
21,-3.6,13.66,2000.0,Sacramento Kings
22,2.6,13.49,1999.0,Sacramento Kings
23,3.1,12.51,1998.0,Sacramento Kings
24,2.1,11.94,1997.0,Sacramento Kings
25,-10.5,11.26,1996.0,Sacramento Kings
26,6.5,13.05,1995.0,Sacramento Kings
27,-17.3,11.45,1994.0,Sacramento Kings
28,5.4,12.18,1993.0,Sacramento Kings
29,8.2,13.54,1992.0,Sacramento Kings
30,5.3,13.24,1991.0,Sacramento Kings
31,4.1,11.64,1990.0,Sacramento Kings
32,-8.2,10.44,1989.0,Sacramento Kings
33,5.0,12.36,1988.0,Sacramento Kings
34,2.3,12.77,1987.0,Sacramento Kings
35,-6.9,10.98,1986.0,Sacramento Kings
36,6.7,12.26,1985.0,Sacramento Kings
37,2.1,12.16,1984.0,Sacramento Kings
38,9.2,13.76,1983.0,Sacramento Kings
39,2.0,12.8,1982.0,Sacramento Kings
