team,season,SMOY
"Utah Jazz",2021,1
"Phoenix Suns",2021,0
"Denver Nuggets",2021,0
"Los Angeles Clippers",2021,0
"Dallas Mavericks",2021,0
"Portland Trail Blazers",2021,0
"Los Angeles Lakers",2021,0
"Memphis Grizzlies",2021,0
"Golden State Warriors",2021,0
"San Antonio Spurs",2021,0
"New Orleans Pelicans",2021,0
"Sacramento Kings",2021,0
"Minnesota Timberwolves",2021,0
"Oklahoma City Thunder",2021,0
"Houston Rockets",2021,0
"Philadelphia 76ers",2021,0
"Brooklyn Nets",2021,0
"Milwaukee Bucks",2021,0
"New York Knicks",2021,0
"Atlanta Hawks",2021,0
"Miami Heat",2021,0
"Boston Celtics",2021,0
"Washington Wizards",2021,0
"Indiana Pacers",2021,0
"Charlotte Hornets",2021,0
"Chicago Bulls",2021,0
"Toronto Raptors",2021,0
"Cleveland Cavaliers",2021,0
"Orlando Magic",2021,0
"Detroit Pistons",2021,0
"Los Angeles Lakers",2020,0
"Los Angeles Clippers",2020,0
"Denver Nuggets",2020,0
"Houston Rockets",2020,0
"Oklahoma City Thunder",2020,0
"Utah Jazz",2020,0
"Dallas Mavericks",2020,0
"Portland Trail Blazers",2020,0
"Memphis Grizzlies",2020,0
"Phoenix Suns",2020,0
"San Antonio Spurs",2020,0
"Sacramento Kings",2020,0
"New Orleans Pelicans",2020,0
"Minnesota Timberwolves",2020,0
"Golden State Warriors",2020,0
"Milwaukee Bucks",2020,0
"Toronto Raptors",2020,0
"Boston Celtics",2020,0
"Indiana Pacers",2020,0
"Miami Heat",2020,0
"Philadelphia 76ers",2020,0
"Brooklyn Nets",2020,0
"Orlando Magic",2020,0
"Washington Wizards",2020,0
"Charlotte Hornets",2020,0
"Chicago Bulls",2020,0
"New York Knicks",2020,0
"Detroit Pistons",2020,0
"Atlanta Hawks",2020,0
"Cleveland Cavaliers",2020,0
"Golden State Warriors",2019,0
"Denver Nuggets",2019,0
"Portland Trail Blazers",2019,0
"Houston Rockets",2019,0
"Utah Jazz",2019,0
"Oklahoma City Thunder",2019,0
"San Antonio Spurs",2019,0
"Los Angeles Clippers",2019,0
"Sacramento Kings",2019,0
"Los Angeles Lakers",2019,0
"Minnesota Timberwolves",2019,0
"Memphis Grizzlies",2019,0
"New Orleans Pelicans",2019,0
"Dallas Mavericks",2019,0
"Phoenix Suns",2019,0
"Milwaukee Bucks",2019,0
"Toronto Raptors",2019,0
"Philadelphia 76ers",2019,0
"Boston Celtics",2019,0
"Indiana Pacers",2019,0
"Brooklyn Nets",2019,0
"Orlando Magic",2019,0
"Detroit Pistons",2019,0
"Charlotte Hornets",2019,0
"Miami Heat",2019,0
"Washington Wizards",2019,0
"Atlanta Hawks",2019,0
"Chicago Bulls",2019,0
"Cleveland Cavaliers",2019,0
"New York Knicks",2019,0
"Houston Rockets",2018,0
"Golden State Warriors",2018,0
"Portland Trail Blazers",2018,0
"Oklahoma City Thunder",2018,0
"Utah Jazz",2018,0
"New Orleans Pelicans",2018,0
"San Antonio Spurs",2018,0
"Minnesota Timberwolves",2018,0
"Denver Nuggets",2018,0
"Los Angeles Clippers",2018,0
"Los Angeles Lakers",2018,0
"Sacramento Kings",2018,0
"Dallas Mavericks",2018,0
"Memphis Grizzlies",2018,0
"Phoenix Suns",2018,0
"Toronto Raptors",2018,0
"Boston Celtics",2018,0
"Philadelphia 76ers",2018,0
"Cleveland Cavaliers",2018,0
"Indiana Pacers",2018,0
"Miami Heat",2018,0
"Milwaukee Bucks",2018,0
"Washington Wizards",2018,0
"Detroit Pistons",2018,0
"Charlotte Hornets",2018,0
"New York Knicks",2018,0
"Brooklyn Nets",2018,0
"Chicago Bulls",2018,0
"Orlando Magic",2018,0
"Atlanta Hawks",2018,0
"Golden State Warriors",2017,0
"San Antonio Spurs",2017,0
"Houston Rockets",2017,1
"Los Angeles Clippers",2017,0
"Utah Jazz",2017,0
"Oklahoma City Thunder",2017,0
"Memphis Grizzlies",2017,0
"Portland Trail Blazers",2017,0
"Denver Nuggets",2017,0
"New Orleans Pelicans",2017,0
"Dallas Mavericks",2017,0
"Sacramento Kings",2017,0
"Minnesota Timberwolves",2017,0
"Los Angeles Lakers",2017,0
"Phoenix Suns",2017,0
"Boston Celtics",2017,0
"Cleveland Cavaliers",2017,0
"Toronto Raptors",2017,0
"Washington Wizards",2017,0
"Atlanta Hawks",2017,0
"Milwaukee Bucks",2017,0
"Indiana Pacers",2017,0
"Chicago Bulls",2017,0
"Miami Heat",2017,0
"Detroit Pistons",2017,0
"Charlotte Hornets",2017,0
"New York Knicks",2017,0
"Orlando Magic",2017,0
"Philadelphia 76ers",2017,0
"Brooklyn Nets",2017,0
"Golden State Warriors",2016,0
"San Antonio Spurs",2016,0
"Oklahoma City Thunder",2016,0
"Los Angeles Clippers",2016,0
"Portland Trail Blazers",2016,0
"Dallas Mavericks",2016,0
"Memphis Grizzlies",2016,0
"Houston Rockets",2016,0
"Utah Jazz",2016,0
"Sacramento Kings",2016,0
"Denver Nuggets",2016,0
"New Orleans Pelicans",2016,0
"Minnesota Timberwolves",2016,0
"Phoenix Suns",2016,0
"Los Angeles Lakers",2016,0
"Cleveland Cavaliers",2016,0
"Toronto Raptors",2016,0
"Miami Heat",2016,0
"Atlanta Hawks",2016,0
"Boston Celtics",2016,0
"Charlotte Hornets",2016,0
"Indiana Pacers",2016,0
"Detroit Pistons",2016,0
"Chicago Bulls",2016,0
"Washington Wizards",2016,0
"Orlando Magic",2016,0
"Milwaukee Bucks",2016,0
"New York Knicks",2016,0
"Brooklyn Nets",2016,0
"Philadelphia 76ers",2016,0
"Golden State Warriors",2015,0
"Houston Rockets",2015,0
"Los Angeles Clippers",2015,0
"Portland Trail Blazers",2015,0
"Memphis Grizzlies",2015,0
"San Antonio Spurs",2015,0
"Dallas Mavericks",2015,0
"New Orleans Pelicans",2015,0
"Oklahoma City Thunder",2015,0
"Phoenix Suns",2015,0
"Utah Jazz",2015,0
"Denver Nuggets",2015,0
"Sacramento Kings",2015,0
"Los Angeles Lakers",2015,0
"Minnesota Timberwolves",2015,0
"Atlanta Hawks",2015,0
"Cleveland Cavaliers",2015,0
"Chicago Bulls",2015,0
"Toronto Raptors",2015,1
"Washington Wizards",2015,0
"Milwaukee Bucks",2015,0
"Boston Celtics",2015,0
"Brooklyn Nets",2015,0
"Indiana Pacers",2015,0
"Miami Heat",2015,0
"Charlotte Hornets",2015,0
"Detroit Pistons",2015,0
"Orlando Magic",2015,0
"Philadelphia 76ers",2015,0
"New York Knicks",2015,0
